VendorNumber,VendorName,Brand,Description,PurchasePrice,Volume,ActualPrice,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesPrice,TotalSalesDollars,TotalExciseTax,TotalSalesQuantity,FreightCost
8664,"STOLI GROUP,(USA) LLC",8112,Stolichnaya,19.52,1750.0,24.99,61936,1208990.72,392353.54,1528730.27,112669.45,61323.0,18544.49
480,BACARDI USA INC,126,Grey Goose Vodka,20.14,1000.0,32.99,59878,1205942.92,294049.49,1736610.87,60913.65,58013.0,89286.27
12546,JIM BEAM BRANDS COMPANY,3512,Pinnacle Vodka,11.76,1750.0,16.99,101480,1193404.8,306439.94,1624366.62,181782.13,98938.0,123880.97
12546,JIM BEAM BRANDS COMPANY,2120,Canadian Club,12.21,1750.0,16.99,97473,1190145.33,307670.2,1554498.4,174471.93,94960.0,123880.97
7245,PROXIMO SPIRITS INC.,8159,Jose Cuervo Especial,19.69,1750.0,25.99,59088,1163442.72,431497.81,1549701.9,107685.03,58610.0,38994.78
480,BACARDI USA INC,4243,Bacardi Superior Rum,14.49,1750.0,19.99,76389,1106876.61,342678.85,1657809.59,141551.61,77041.0,89286.27
8112,MOET HENNESSY USA INC,6654,Veuve Clicquot Brut Yellow,27.2,750.0,39.99,40380,1098336.0,349562.06,1584665.41,4316.36,38506.0,48347.26
3960,DIAGEO NORTH AMERICA INC,8512,Baileys Irish Cream,14.72,750.0,19.99,72952,1073853.44,340626.13,1456174.78,57570.69,73122.0,257032.07
7245,PROXIMO SPIRITS INC.,3802,Three Olives Vodka,13.43,1750.0,18.99,77066,1034996.38,331726.63,1408627.78,137288.58,74722.0,38994.78
11567,CAMPARI AMERICA,3826,Skyy Vodka,15.74,1750.0,19.99,65382,1029112.68,352821.78,1327401.12,118298.37,64388.0,20964.81
8112,MOET HENNESSY USA INC,42188,Moet & Chandon Nectar Imp Rs,34.01,750.0,52.99,29829,1014484.29,132343.67,1533634.52,3314.23,29498.0,48347.26
17035,PERNOD RICARD USA,3423,Beefeater,21.25,1750.0,26.99,46163,980963.75,367508.01,1177834.38,82244.16,44762.0,123780.22
8004,SAZERAC CO INC,5138,Fireball Cinnamon Whisky,11.1,750.0,13.99,87954,976289.4,257643.31,1174428.36,66360.95,84289.0,50293.62
17035,PERNOD RICARD USA,5734,Malibu Rum,15.82,1750.0,21.99,61639,975128.98,315290.18,1293182.98,110429.45,60102.0,123780.22
480,BACARDI USA INC,4227,Bacardi Superior Rum Trav,14.17,1750.0,17.99,68294,967725.98,177578.65,1323223.53,138074.09,75147.0,89286.27
4425,MARTIGNETTI COMPANIES,3505,Tito's Handmade Vodka,13.76,750.0,18.99,69299,953554.24,331321.59,1355204.97,55584.91,70603.0,144929.24
1128,BROWN-FORMAN CORP,1232,Jack Daniels No 7 Black,15.93,750.0,22.99,52932,843206.76,394500.86,1255188.94,41888.06,53206.0,68601.68
12546,JIM BEAM BRANDS COMPANY,1385,Makers Mark,20.45,750.0,26.99,41048,839431.6,396827.65,1034144.85,29615.6,37615.0,123880.97
8004,SAZERAC CO INC,5103,Fireball Cinnamon Whisky,17.14,1750.0,23.99,44198,757553.72,364814.64,1093841.67,79984.58,43533.0,50293.62
17035,PERNOD RICARD USA,8000,The Glenlivet 12 Yr Single,53.96,1750.0,67.99,13759,742435.64,453044.28,910688.9,24275.31,13210.0,123780.22
3960,DIAGEO NORTH AMERICA INC,2432,Crown Royal,17.59,750.0,22.99,41893,736897.87,361149.79,967005.94,32678.12,41506.0,257032.07
17035,PERNOD RICARD USA,5365,Kahlua,14.84,750.0,18.99,48583,720971.72,323296.76,932815.85,38272.73,48615.0,123780.22
3960,DIAGEO NORTH AMERICA INC,3876,Smirnoff 80 Proof,13.95,1750.0,19.99,50962,710919.9,298050.96,1210481.34,118078.45,64266.0,257032.07
1392,CONSTELLATION BRANDS INC,3913,Svedka Vodka,14.28,1750.0,17.99,48481,692308.68,271014.43,875307.95,87832.83,47805.0,79528.99
8004,SAZERAC CO INC,3522,Platinum 7X Distilled Vodka,9.62,1750.0,12.99,71899,691668.38,232302.78,914148.49,129253.37,70351.0,50293.62
1392,CONSTELLATION BRANDS INC,2114,Black Velvet Canadian Whisky,9.41,1750.0,12.99,73227,689066.07,229797.43,948838.57,132364.71,72043.0,79528.99
4425,MARTIGNETTI COMPANIES,11219,Josh Cellars Cab Svgn Sonoma,8.44,750.0,12.99,80030,675453.2,199092.27,1095045.04,8799.82,78392.0,144929.24
9552,M S WALKER INC,3893,Zhenka 80 Proof,7.93,1750.0,9.99,81447,645874.71,171058.77,816412.77,150149.63,81723.0,55551.82
1128,BROWN-FORMAN CORP,811,Jack Daniels No 7 Black,19.84,1000.0,29.99,32554,645871.36,253234.7,937915.36,33667.2,32064.0,68601.68
3960,DIAGEO NORTH AMERICA INC,2443,Seagrams VO,13.48,1750.0,16.99,47654,642375.92,273169.26,902489.54,87173.57,47446.0,257032.07
660,SAZERAC NORTH AMERICA INC.,2127,Canadian Ltd,7.19,1750.0,10.49,86887,624717.53,183132.56,899110.55,158367.21,86195.0,17932.33
1392,CONSTELLATION BRANDS INC,6682,R M Woodbridge Chard Cal,6.03,1500.0,8.99,101547,612328.41,161300.35,1016328.61,22776.05,101339.0,79528.99
3960,DIAGEO NORTH AMERICA INC,3798,Ciroc Apple Vodka,19.83,750.0,28.99,30830,611358.9,157601.68,748067.53,23348.15,29647.0,257032.07
3960,DIAGEO NORTH AMERICA INC,4262,Capt Morgan Spiced Rum,11.19,750.0,13.99,54552,610436.88,241540.93,862422.9,43861.64,55710.0,257032.07
1128,BROWN-FORMAN CORP,2015,Jack Daniels Tennessee Honey,18.1,750.0,22.99,33715,610241.5,303753.15,771010.31,25959.91,32969.0,68601.68
12546,JIM BEAM BRANDS COMPANY,1737,Makers Mark,34.3,1750.0,51.99,17537,601519.1,432234.78,823521.11,29564.92,16089.0,123880.97
4425,MARTIGNETTI COMPANIES,38370,Oyster Bay Svgn Bl Marlboro,6.59,750.0,9.95,91140,600612.6,124833.98,890334.41,10138.88,90267.0,144929.24
6785,PALM BAY INTERNATIONAL INC,6937,Cavit Pinot Grigio,6.75,1500.0,9.99,88752,599076.0,164272.29,945345.02,19771.27,87974.0,13605.41
8112,MOET HENNESSY USA INC,4689,Hennessy Privilege VSOP,33.33,750.0,45.99,17838,594540.54,177136.37,858571.95,14178.85,18005.0,48347.26
4425,MARTIGNETTI COMPANIES,3040,Tito's Handmade Vodka,16.54,1000.0,23.99,35922,594149.88,253126.18,842326.99,36646.05,34901.0,144929.24
17035,PERNOD RICARD USA,3625,Absolut 80 Proof,12.59,750.0,16.99,45969,578749.71,270297.42,785296.94,34961.13,44406.0,123780.22
8112,MOET HENNESSY USA INC,7865,Moet & Chandon Imperial,23.97,750.0,34.99,24088,577389.36,249582.16,834892.1,2606.53,23290.0,48347.26
12546,JIM BEAM BRANDS COMPANY,1346,Knob Creek Bourbon,22.55,750.0,29.99,25540,575927.0,350154.71,684455.56,17438.07,22144.0,123880.97
7239,REMY COINTREAU USA INC,5242,Cointreau Liqueur,22.05,750.0,29.99,25361,559210.05,351898.27,763368.3,19504.75,24770.0,16978.67
7239,REMY COINTREAU USA INC,4722,Remy Martin VSOP Cognac,27.77,750.0,34.99,19910,552900.7,204514.67,665392.63,14677.69,18637.0,16978.67
4425,MARTIGNETTI COMPANIES,6967,Santa Margherita Pnt Grigio,11.89,750.0,19.99,46257,549995.73,185950.74,923055.25,5216.4,46511.0,144929.24
8664,"STOLI GROUP,(USA) LLC",3630,Stolichnaya Razberi,19.83,1750.0,24.99,27479,544908.57,298569.61,700960.78,50751.81,27622.0,18544.49
1128,BROWN-FORMAN CORP,2760,Jack Daniels Tennessee Honey,28.02,1750.0,38.99,19219,538516.38,345701.2,701171.5,33536.43,18250.0,68601.68
3960,DIAGEO NORTH AMERICA INC,8178,Bulleit Bourbon,18.51,750.0,25.99,28421,526072.71,301943.56,724379.96,21421.64,27204.0,257032.07
3089,SIDNEY FRANK IMPORTING CO,5445,Jagermeister Liqueur,11.76,750.0,15.99,44330,521320.8,253884.34,661672.67,32383.34,41133.0,8549.55
3252,E & J GALLO WINERY,14006,Apothic Winemakers Red Blend,5.44,750.0,9.99,94779,515597.76,143899.93,812899.38,10283.26,91600.0,61966.91
3664,WILLIAM GRANT & SONS INC,3238,Hendrick's Gin,22.83,750.0,29.99,22352,510296.16,294114.64,632474.53,16416.8,20847.0,30234.42
12546,JIM BEAM BRANDS COMPANY,3980,Hornitos Reposado Tequila,31.99,1750.0,39.99,15805,505601.95,323365.62,565522.19,28264.51,15381.0,123880.97
7245,PROXIMO SPIRITS INC.,3776,Jose Cuervo Especial Silver,18.56,1750.0,25.99,26795,497315.2,295186.91,684036.04,47031.43,25596.0,38994.78
3960,DIAGEO NORTH AMERICA INC,3746,Gordons Vodka 80 Proof,8.52,1750.0,12.99,58309,496792.68,188936.74,724360.55,106278.68,57845.0,257032.07
17035,PERNOD RICARD USA,3728,Absolut Citron,18.93,1750.0,24.99,25959,491403.87,288436.23,658689.78,48180.15,26222.0,123780.22
3924,HEAVEN HILL DISTILLERIES,3243,Burnetts Vodka,8.26,1750.0,10.49,57575,475569.5,182200.23,648535.33,104847.72,57067.0,14069.87
3089,SIDNEY FRANK IMPORTING CO,5440,Jagermeister Liqueur,25.92,1750.0,34.99,18298,474284.16,318571.82,621256.18,33226.63,18082.0,8549.55
480,BACARDI USA INC,4245,Bacardi Superior Rum,7.93,750.0,11.99,58816,466410.88,167950.57,643474.8,45919.42,58320.0,89286.27
9165,ULTRA BEVERAGE COMPANY LLP,36378,MezzaCorona Pnt Grigio,6.83,1500.0,9.97,68084,465013.72,155747.37,695816.41,15097.47,67195.0,68054.7
3664,WILLIAM GRANT & SONS INC,4198,Sailor Jerry Spiced Navy Rum,17.51,1750.0,24.99,25998,455224.98,288223.98,575754.92,42276.16,23008.0,30234.42
10000,MAJESTIC FINE WINES,24325,La Crema Chard Sonoma Cst,10.88,750.0,15.99,41274,449061.12,155090.73,658288.13,4415.6,39387.0,17587.59
17035,PERNOD RICARD USA,5735,Malibu Rum,9.29,750.0,11.99,48121,447044.09,181685.19,598769.43,36656.77,46557.0,123780.22
8112,MOET HENNESSY USA INC,5342,Grand Marnier,19.85,750.0,28.99,22234,441344.9,335050.78,687309.77,17815.45,22623.0,48347.26
2555,DISARONNO INTERNATIONAL LLC,5311,Amaretto DiSaronno,23.7,1750.0,31.99,18409,436293.3,306347.94,667168.24,33767.5,18376.0,5861.03
1392,CONSTELLATION BRANDS INC,19748,Clos du Bois Chard,9.2,1500.0,13.99,47153,433807.6,166739.16,701955.59,10347.03,46069.0,79528.99
8112,MOET HENNESSY USA INC,3668,Belvedere Polish Vodka,34.12,1750.0,42.99,12713,433767.56,282790.95,536414.82,22452.64,12218.0,48347.26
2561,EDRINGTON AMERICAS,2520,The Macallan 12 Yr Old,42.21,750.0,62.99,10227,431681.67,344176.98,572039.87,7651.83,9713.0,9654.5
3960,DIAGEO NORTH AMERICA INC,8202,Sambuca Romana,13.33,750.0,17.99,32375,431558.75,219853.86,606781.84,25052.7,31816.0,257032.07
3960,DIAGEO NORTH AMERICA INC,3276,Gordons London Dry,9.62,1750.0,14.99,44631,429350.22,185732.19,643753.66,81641.21,44434.0,257032.07
3960,DIAGEO NORTH AMERICA INC,497,Capt Morgan Spiced Rum,14.7,1000.0,19.99,29200,429240.0,145247.34,584467.62,30699.9,29238.0,257032.07
3960,DIAGEO NORTH AMERICA INC,1883,Seagrams 7 Crown,13.23,1750.0,17.99,32253,426707.19,227105.76,583415.7,59584.78,32430.0,257032.07
3960,DIAGEO NORTH AMERICA INC,2767,Johnnie Walker Blue Label,139.7,750.0,189.99,2963,413931.1,399868.02,548648.39,2176.61,2761.0,257032.07
17035,PERNOD RICARD USA,482,Absolut 80 Proof,14.28,1000.0,21.99,28888,412520.64,198436.06,599601.34,29259.3,27866.0,123780.22
3960,DIAGEO NORTH AMERICA INC,8778,Bulleit Bourbon,37.29,1750.0,49.99,10966,408922.14,304106.57,525233.04,19841.33,10796.0,257032.07
1128,BROWN-FORMAN CORP,1220,Woodford Reserve Bourbon,21.89,750.0,29.99,18645,408139.05,293510.15,589481.92,14496.36,18408.0,68601.68
3960,DIAGEO NORTH AMERICA INC,2418,Crown Royal Regal Apple,16.53,750.0,22.99,24558,405943.74,263621.23,570271.16,19122.7,24284.0,257032.07
1392,CONSTELLATION BRANDS INC,8504,R M Woodbridge Cab Svgn Cal,5.84,1500.0,8.99,69263,404495.92,148661.02,686725.33,15427.26,68667.0,79528.99
660,SAZERAC NORTH AMERICA INC.,3684,Fleischmanns Royal Vodka,7.68,1750.0,9.99,52351,402055.68,156288.16,527560.96,95452.87,51954.0,17932.33
3252,E & J GALLO WINERY,14622,La Marca Prosecco,8.66,750.0,12.99,46387,401711.42,124562.16,558344.69,5114.6,45608.0,61966.91
8004,SAZERAC CO INC,3246,Bentley's Vodka,6.71,1750.0,8.79,59841,401533.11,136913.04,520763.55,108849.58,59245.0,50293.62
17035,PERNOD RICARD USA,8339,The Glenlivet 12 Yr Single,30.21,750.0,42.99,13250,400282.5,335249.38,544906.37,9818.56,12463.0,123780.22
2555,DISARONNO INTERNATIONAL LLC,5312,Amaretto DiSaronno,14.7,750.0,21.99,27186,399634.2,228705.95,571763.22,20614.87,26178.0,5861.03
3960,DIAGEO NORTH AMERICA INC,1869,Oban 14-Yr Single Malt,40.14,750.0,54.99,9892,397064.88,302801.33,549291.81,7262.52,9219.0,257032.07
8112,MOET HENNESSY USA INC,8622,Dom Perignon,87.09,750.0,145.99,4544,395736.96,312139.21,589317.73,459.15,4127.0,48347.26
3960,DIAGEO NORTH AMERICA INC,1868,Lagavulin Single Malt 16-Yr,49.62,750.0,66.99,7821,388078.02,334191.73,550740.56,6022.61,7644.0,257032.07
480,BACARDI USA INC,508,Bacardi Superior Rum,9.77,1000.0,12.99,38957,380609.89,123060.88,522309.15,40251.75,38335.0,89286.27
3924,HEAVEN HILL DISTILLERIES,1180,Evan Williams Black Label B,13.07,1750.0,16.99,29070,379944.9,233334.65,543425.09,51982.14,28291.0,14069.87
8112,MOET HENNESSY USA INC,4673,Hennessy VS Cognac,46.66,1750.0,69.99,8132,379439.12,225142.98,549271.82,14917.3,8118.0,48347.26
1128,BROWN-FORMAN CORP,2143,Canadian Mist,10.07,1750.0,12.99,37653,379165.71,180374.16,518089.37,69382.94,37763.0,68601.68
4425,MARTIGNETTI COMPANIES,11214,Caymus Cab Svgn Napa Vly,50.33,750.0,74.99,7505,377726.65,222174.11,534970.92,849.17,7612.0,144929.24
17035,PERNOD RICARD USA,2646,Chivas Regal,43.3,1750.0,58.99,8702,376796.6,267131.53,462119.67,15131.22,8233.0,123780.22
7245,PROXIMO SPIRITS INC.,8691,Jose Cuervo Especial,11.9,750.0,14.99,31495,374790.5,216863.36,494108.17,24709.81,31383.0,38994.78
3960,DIAGEO NORTH AMERICA INC,4330,Capt Morgan Spiced Rum 100,20.79,1750.0,25.99,17755,369126.45,267976.33,482985.67,32401.76,17633.0,257032.07
1485,CASTLE BRANDS CORP.,4225,Goslings Black Seal Bermuda,18.37,1750.0,24.99,20089,369034.93,230329.08,522535.21,37080.62,20179.0,8497.59
1392,CONSTELLATION BRANDS INC,6479,Clos du Bois Chard,5.95,750.0,8.99,61869,368120.55,110538.35,567452.47,6872.19,61253.0,79528.99
4425,MARTIGNETTI COMPANIES,3485,Luksusowa Potato Vodka,15.03,1750.0,19.99,24202,363756.06,237850.84,485688.57,43809.65,23843.0,144929.24
17035,PERNOD RICARD USA,800,Jameson Irish Whiskey,24.02,1000.0,31.99,15142,363710.84,124940.36,468587.94,15231.3,14506.0,123780.22
12546,JIM BEAM BRANDS COMPANY,1345,Basil Hayden Bourbon,28.45,750.0,37.99,12761,363050.45,272052.08,494732.98,10162.8,12902.0,123880.97
3664,WILLIAM GRANT & SONS INC,1956,Balvenie 12 Yr Doublewood S,39.99,750.0,53.99,9013,360429.87,290627.85,456461.78,6241.49,7922.0,30234.42
17035,PERNOD RICARD USA,2932,Jameson Black Barrel,24.61,750.0,31.99,14642,360339.62,262340.49,444452.15,10859.05,13785.0,123780.22
12546,JIM BEAM BRANDS COMPANY,5391,Kamora Coffee,12.02,1750.0,15.99,29914,359566.28,219621.59,491568.89,54956.1,29911.0,123880.97
3960,DIAGEO NORTH AMERICA INC,1384,Bulleit 95 Rye,18.93,750.0,25.99,18900,357777.0,239842.66,470254.8,13877.41,17620.0,257032.07
1392,CONSTELLATION BRANDS INC,38546,Mark West Pnt Nr Sonoma,5.06,750.0,9.99,70531,356886.86,133090.85,675519.62,7876.0,70188.0,79528.99
12546,JIM BEAM BRANDS COMPANY,3982,Hornitos Reposado Tequila,14.38,750.0,19.99,24801,356638.38,226692.6,469603.01,17402.72,22099.0,123880.97
3252,E & J GALLO WINERY,3180,New Amsterdam Vodka,10.94,1750.0,16.99,32413,354598.22,232222.54,581784.62,62355.96,33938.0,61966.91
1128,BROWN-FORMAN CORP,1789,Jack Daniels Tennesse Fire,17.16,750.0,22.99,20590,353324.4,237927.51,469722.75,15770.39,20025.0,68601.68
1485,CASTLE BRANDS CORP.,1269,Jeffersons Bourbon,19.11,750.0,25.99,18458,352732.38,227255.99,447608.24,13370.66,16976.0,8497.59
3960,DIAGEO NORTH AMERICA INC,3456,Tanqueray Sterling Vodka,13.27,1750.0,18.99,26543,352225.61,171496.45,483047.16,47193.95,25684.0,257032.07
4425,MARTIGNETTI COMPANIES,23143,Bogle Chard,4.65,750.0,6.79,74342,345690.3,101451.92,591669.53,8099.38,72139.0,144929.24
1128,BROWN-FORMAN CORP,1231,Jack Daniels No 7 Black,9.48,375.0,12.99,36450,345546.0,192455.16,435377.67,14044.22,35733.0,68601.68
480,BACARDI USA INC,3344,Bombay Sapphire Gin,14.49,750.0,19.99,23798,344833.02,236205.7,516761.8,19388.25,24620.0,89286.27
8004,SAZERAC CO INC,5191,Fireball Cinnamon Whiskey,7.93,375.0,9.99,43352,343781.36,167542.29,430139.43,16928.97,43057.0,50293.62
3960,DIAGEO NORTH AMERICA INC,3878,Smirnoff 80 Proof,7.96,750.0,10.99,43015,342399.4,175166.17,499703.1,34397.94,43690.0,257032.07
3960,DIAGEO NORTH AMERICA INC,3352,Ciroc Coconut Vodka,18.79,750.0,24.99,18095,340005.05,91916.84,474449.24,14945.69,18976.0,257032.07
12546,JIM BEAM BRANDS COMPANY,3253,Gilbeys London Dry,9.08,1750.0,12.49,37423,339800.84,154889.61,463220.03,68894.6,37497.0,123880.97
3664,WILLIAM GRANT & SONS INC,1921,Glenfiddich Special Rsv 12,52.71,1750.0,67.99,6436,339241.56,230498.02,379168.37,10040.87,5463.0,30234.42
3960,DIAGEO NORTH AMERICA INC,4264,Capt Morgan Spiced Rum Trav,11.53,750.0,16.99,29352,338428.56,211607.67,447487.4,22722.45,28860.0,257032.07
3960,DIAGEO NORTH AMERICA INC,2752,Johnnie Walker Black Label,26.31,750.0,38.99,12778,336189.18,271655.89,490792.17,10306.04,13083.0,257032.07
12546,JIM BEAM BRANDS COMPANY,3997,Hornitos Plata Tequila,14.05,750.0,19.99,23835,334881.75,233740.73,474637.93,18117.01,23007.0,123880.97
3664,WILLIAM GRANT & SONS INC,3234,Hendrick's Gin,45.92,1750.0,62.99,7290,334756.8,294818.1,467921.35,13719.89,7465.0,30234.42
8004,SAZERAC CO INC,1767,Buffalo Trace Bourbon,19.37,750.0,24.99,17274,334597.38,203881.09,412468.64,12865.98,16336.0,50293.62
3664,WILLIAM GRANT & SONS INC,5337,Drambuie,20.6,750.0,27.99,16167,333040.2,219275.17,394423.38,11234.04,14262.0,30234.42
7239,REMY COINTREAU USA INC,4437,Mount Gay Eclipse,23.48,1750.0,30.99,14171,332735.08,235529.35,461672.38,24922.55,13562.0,16978.67
1392,CONSTELLATION BRANDS INC,11213,Meiomi Pnt Nr,12.66,750.0,19.99,26190,331565.4,150294.92,503067.48,2871.66,25652.0,79528.99
8004,SAZERAC CO INC,5299,Southern Comfort,15.26,1750.0,21.99,21713,331340.38,130310.43,412339.05,36554.34,19895.0,50293.62
7239,REMY COINTREAU USA INC,782,Remy Martin 1738 Accord Ryl,35.15,750.0,54.99,9415,330937.25,151788.57,444072.52,7204.4,9148.0,16978.67
3960,DIAGEO NORTH AMERICA INC,2889,Buchanans Deluxe 12Yr Scotch,23.07,750.0,31.99,14260,328978.2,78540.69,432258.32,10606.02,13468.0,257032.07
3960,DIAGEO NORTH AMERICA INC,3549,Ketel One Vodka,17.82,750.0,26.99,18322,326498.04,212090.72,407030.68,13020.04,16532.0,257032.07
17035,PERNOD RICARD USA,857,Kahlua,16.17,1000.0,21.99,20165,326068.05,199801.36,462932.26,20657.7,19674.0,123780.22
3960,DIAGEO NORTH AMERICA INC,8506,Myers Original Dark Rum,21.42,1750.0,29.99,15187,325305.54,198940.7,449036.67,26889.58,14633.0,257032.07
4425,MARTIGNETTI COMPANIES,14672,Duckhorn Decoy Cab Svgn,11.61,750.0,21.99,27814,322920.54,143395.56,508256.95,3105.32,27729.0,144929.24
4425,MARTIGNETTI COMPANIES,6579,J Lohr Riverstone Chard,5.8,750.0,8.99,54960,318768.0,121728.33,605967.38,6301.71,56157.0,144929.24
3252,E & J GALLO WINERY,2164,New Amsterdam Gin,12.14,1750.0,16.99,26071,316501.94,208640.77,431674.05,45007.59,24495.0,61966.91
2000,SOUTHERN WINE & SPIRITS NE,27854,F Coppola Black Label Claret,10.2,750.0,14.99,30869,314863.8,129556.42,443192.12,3445.72,30768.0,19016.59
8112,MOET HENNESSY USA INC,3682,Belvedere Vodka,16.66,750.0,22.99,18848,314007.68,199630.16,413944.31,14073.02,17869.0,48347.26
9552,M S WALKER INC,7878,Allens Coffee Brandy,9.99,1750.0,15.99,31200,311688.0,117338.98,471064.4,57256.32,31160.0,55551.82
2561,EDRINGTON AMERICAS,1634,The Famous Grouse,20.73,1750.0,29.99,15031,311592.63,224519.45,444949.86,26854.42,14614.0,9654.5
12546,JIM BEAM BRANDS COMPANY,3444,Hornitos Plata Tequila,29.13,1750.0,39.99,10636,309826.68,242129.64,375689.38,19042.86,10362.0,123880.97
17035,PERNOD RICARD USA,2426,The Glenlivet 15Yr FrenchOak,41.59,750.0,51.99,7445,309637.55,252067.74,413475.55,5866.5,7445.0,123780.22
1392,CONSTELLATION BRANDS INC,32915,Kim Crawford Svgn Bl Marlbro,9.99,750.0,14.99,30842,308111.58,126472.2,472099.31,3459.25,30869.0,79528.99
4425,MARTIGNETTI COMPANIES,35412,Yellow Tail Chard Ausl,5.97,1500.0,9.99,51294,306225.18,117789.6,491916.09,11409.35,50797.0,144929.24
3960,DIAGEO NORTH AMERICA INC,3840,Smirnoff Raspberry Vodka,14.39,1750.0,22.99,21076,303283.64,224450.25,438524.33,38894.1,21167.0,257032.07
9552,M S WALKER INC,3769,Jenkins Vodka,7.02,1750.0,9.49,42549,298693.98,134715.91,394134.45,77358.39,42105.0,55551.82
8673,STE MICHELLE WINE ESTATES,8815,Ch Ste Michelle Chard Colmbi,6.07,750.0,8.99,48853,296537.71,97686.77,431702.35,5449.72,48587.0,15919.7
3960,DIAGEO NORTH AMERICA INC,3879,Smirnoff 80 Proof Traveler,7.91,750.0,12.99,37344,295391.04,187268.26,427609.96,28815.44,36604.0,257032.07
12546,JIM BEAM BRANDS COMPANY,1375,Jim Beam,11.5,750.0,14.49,25183,289604.5,203013.36,402621.29,20569.55,26121.0,123880.97
8892,TRINCHERO FAMILY ESTATES,41034,Menage a Trois Red,5.26,750.0,8.99,54738,287921.88,132593.95,509372.48,6135.29,54744.0,11595.97
1128,BROWN-FORMAN CORP,1545,Gentleman Jack,19.42,750.0,29.99,14785,287124.7,253424.58,423808.99,11423.39,14501.0,68601.68
480,BACARDI USA INC,2665,Dewars White Label,15.38,750.0,19.99,18574,285668.12,215262.61,400461.12,15034.06,19088.0,89286.27
